strike,bid,ask,lastPrice,impliedVolatility,volume,openInterest,midPrice,Moneyness,T,log_Moneyness,IV_mercado
440.0,2.85,3.6,3.64,0.4572197833251954,290,686,3.225,1.1797195446280202,0.09315068493150686,0.16527673618457098,0.4572197833251954
445.0,2.55,3.55,3.6,0.4762015270996094,61,227,3.05,1.1931254485442477,0.09315068493150686,0.1765762914385044,0.4762015270996094
450.0,2.26,2.95,2.55,0.4714408325195312,374,1463,2.605,1.206531352460475,0.09315068493150686,0.18774959203662944,0.4714408325195312
455.0,1.79,2.74,2.29,0.4813284289550781,131,137,2.265,1.2199372563767026,0.09315068493150686,0.19879942822321445,0.4813284289550781
460.0,1.7,2.44,2.06,0.48560084716796875,100,574,2.07,1.2333431602929301,0.09315068493150686,0.20972849875540475,0.48560084716796875
465.0,1.45,2.22,1.75,0.49219257812500006,36,290,1.835,1.2467490642091577,0.09315068493150686,0.22053941485962042,0.49219257812500006
470.0,1.35,1.9,1.7,0.49158223266601564,105,755,1.625,1.2601549681253852,0.09315068493150686,0.2312347039763684,0.49158223266601564
475.0,0.99,2.0,0.71,0.5142870837402342,114,117,1.495,1.2735608720416127,0.09315068493150686,0.24181681330690535,0.5142870837402342
480.0,0.15,1.5,1.31,0.49878430908203125,13,277,0.825,1.28696677595784,0.09315068493150686,0.25228811317420063,0.49878430908203125
485.0,0.7,2.0,1.15,0.5036670727539063,31,77,1.35,1.3003726798740676,0.09315068493150686,0.26265090020974724,0.5036670727539063
490.0,0.47,1.4,0.79,0.5225877819824218,29,63,0.9349999999999999,1.313778583790295,0.09315068493150686,0.27290740037693634,0.5225877819824218
495.0,0.78,2.16,0.57,0.5427291821289064,7,20,1.4700000000000002,1.3271844877065226,0.09315068493150686,0.2830597718409544,0.5427291821289064
500.0,0.75,1.25,0.85,0.5183153637695312,152,669,1.0,1.3405903916227502,0.09315068493150686,0.29311010769445583,0.5183153637695312
505.0,0.01,1.89,0.75,0.5273484765625001,26,11,0.95,1.3539962955389777,0.09315068493150686,0.30306043854762393,0.5273484765625001
510.0,0.01,0.9,0.76,0.5358933129882812,16,46,0.455,1.3674021994552052,0.09315068493150686,0.3129127349906356,0.5358933129882812
515.0,0.5,2.0,0.72,0.5825237060546875,6,12,1.25,1.3808081033714326,0.09315068493150686,0.32266890993600017,0.5825237060546875
550.0,0.1,0.9,0.5,0.5822795678710937,177,315,0.5,1.474649430785025,0.09315068493150686,0.38842028749878066,0.5822795678710937
